track_name,artist_name,played_at
Best Friend,Laufey,2025-02-16T11:23:37.030Z
Lovesick,Laufey,2025-02-16T11:27:23.022Z
Like the Movies,Laufey,2025-02-16T11:30:06.343Z
A Night To Remember,beabadoobee,2025-02-16T11:34:00.327Z
Everytime We Say Goodbye - Live at The Symphony,Laufey,2025-02-16T11:38:34.467Z
Dreamer,Laufey,2025-02-16T11:42:05.776Z
Fragile,Laufey,2025-02-16T11:46:07.554Z
I Wish You Love,Laufey,2025-02-16T11:48:42.935Z
Slow Down,Laufey,2025-02-16T11:51:08.451Z
James,Laufey,2025-02-16T11:54:05.060Z
Second Best,Laufey,2025-02-16T11:57:30.448Z
From The Start,Laufey,2025-02-16T12:00:20.394Z
Valentine,Laufey,2025-02-16T12:03:09.770Z
Bored,Laufey,2025-02-16T12:06:43.564Z
Where or When,Laufey,2025-02-16T12:10:07.618Z
It Could Happen To You,Laufey,2025-02-16T12:12:15.798Z
Promise,Laufey,2025-02-16T12:16:10.420Z
This Is How It Feels (with Laufey),d4vd,2025-02-16T12:27:39.557Z
This Is How It Feels (with Laufey),d4vd,2025-02-16T12:38:06.137Z
God Is,Kanye West,2025-02-17T18:19:04.745Z
Favour,Lawrence Oyor,2025-02-17T18:48:33.509Z
Alone,Anendlessocean,2025-02-17T18:51:40.273Z
Alignment Chant - EP,Lawrence Oyor,2025-02-17T19:05:11.772Z
Faithful Is Our God,Hezekiah Walker,2025-02-17T19:12:36.940Z
Clean Heart,Bryan & Katie Torwalt,2025-02-17T19:27:32.128Z
Alignment Chant - EP,Lawrence Oyor,2025-02-18T03:41:12.366Z
Jesus Christ is seen,Ebuka Songs,2025-02-18T03:44:16.663Z
Testament Of Love,Ugee Royalty,2025-02-18T04:02:53.828Z
Clean Heart,Bryan & Katie Torwalt,2025-02-18T04:08:14.511Z
Faithful Is Our God,Hezekiah Walker,2025-02-18T04:31:09.326Z
(I'll Keep) Running to You,Todd Dulaney,2025-02-18T04:35:36.379Z
Jesus Christ is seen,Ebuka Songs,2025-02-18T18:31:22.851Z
Alone,Anendlessocean,2025-02-19T02:55:17.507Z
Alignment Chant - EP,Lawrence Oyor,2025-02-19T03:09:18.694Z
Jesus Christ is seen,Ebuka Songs,2025-02-19T03:12:22.929Z
Evidence (feat. Naomi Raine),ReFRESH Worship,2025-02-19T03:21:26.928Z
Desire (Soaking),kaestrings,2025-02-19T03:25:50.965Z
Ascend,Victoria Orenze,2025-02-19T03:41:23.683Z
There Is Prophecy over Me,1Spirit & Theophilus Sunday,2025-02-19T03:54:44.129Z
Live Again,ONE HOUSE,2025-02-19T04:03:26.966Z
Testament Of Love,Ugee Royalty,2025-02-19T04:09:37.953Z
Trouble,Laufey,2025-02-19T15:03:43.310Z
Goddess,Laufey,2025-02-19T15:13:29.364Z
From The Start,Laufey,2025-02-19T15:16:23.671Z
Falling Behind,Laufey,2025-02-19T15:19:17.826Z
Trouble,Laufey,2025-02-19T15:57:00.076Z
Goddess,Laufey,2025-02-19T16:01:37.407Z
From The Start,Laufey,2025-02-19T16:10:37.431Z
Falling Behind,Laufey,2025-02-19T16:13:31.502Z
James,Laufey,2025-02-19T16:47:39.383Z
Bored,Laufey,2025-02-19T16:53:00.677Z
Bewitched,Laufey,2025-02-19T16:57:14.839Z
It Could Happen To You,Laufey,2025-02-19T18:18:37.681Z
Beautiful Stranger,Laufey,2025-02-19T18:21:59.515Z
Trouble,Laufey,2025-02-19T18:36:12.902Z
Goddess,Laufey,2025-02-19T18:40:44.129Z
From The Start,Laufey,2025-02-19T18:43:34.306Z
Falling Behind,Laufey,2025-02-19T18:46:28.408Z
Everytime We Say Goodbye - Live at The Symphony,Laufey,2025-02-19T19:19:25.331Z
James,Laufey,2025-02-19T19:22:21.882Z
Bored,Laufey,2025-02-19T19:25:55.636Z
Bewitched,Laufey,2025-02-19T19:30:02.803Z
It Could Happen To You,Laufey,2025-02-19T19:32:11.187Z
Beautiful Stranger,Laufey,2025-02-19T19:35:32.944Z
The Nearness of You - Live at The Symphony,Laufey,2025-02-19T19:38:21.843Z
Love Flew Away,Laufey,2025-02-19T19:40:49.941Z
Let You Break My Heart Again,Laufey,2025-02-19T19:45:22.089Z
Street by Street,Laufey,2025-02-19T19:49:06.655Z
This Love,Jonathan Ogden,2025-02-20T08:40:54.294Z
Where To Find Me,Jet Trouble,2025-02-20T08:43:13.813Z
Sweeter,John Mark Pantana,2025-02-20T08:46:50.852Z
Nostalgia,ISLY,2025-02-20T08:51:46.208Z
Good Life,ISLY,2025-02-20T08:56:10.293Z
More Than Halfway,Local Sound,2025-02-20T08:59:52.262Z
Searching For,ISLY,2025-02-20T09:04:07.948Z
Source,Landry Cantrell,2025-02-20T09:07:12.760Z
i'll go,Isla Vista Worship,2025-02-20T09:10:43.079Z
The Way (You Love),Laity,2025-02-20T09:13:44.679Z
Savior and King,Deeper Well,2025-02-20T09:17:30.624Z
Palm of Your Hand,BELOVED,2025-02-20T09:22:29.757Z
WILD THINGS,NXTMIKE,2025-02-20T09:25:33.419Z
My Heart Alone,Colorvault,2025-02-20T10:24:52.334Z
Pull My Heart Away,Samuel Sweat,2025-02-20T10:27:23.452Z
What You Paid For,Ethan C. Davis,2025-02-20T10:31:33.598Z
True Love,Equippers Revolution,2025-02-20T10:34:29.099Z
Stubborn,Jet Trouble,2025-02-20T10:36:41.724Z
Refuge - Remix,ZOE Music,2025-02-20T10:39:38.924Z
Hymn 42,IMRSQD,2025-02-20T10:47:13.481Z
In Your Hand,Sharp Dialect,2025-02-20T10:50:32.119Z
Forever,ISLY,2025-02-20T10:54:15.293Z
So Good,Ryan Hylton,2025-02-20T10:56:32.242Z
Pilot,IMRSQD,2025-02-20T10:58:12.943Z
Story Of Our Love,ZOE Music,2025-02-20T11:06:00.869Z
Shackles (Praise You),Mary Mary,2025-02-20T11:10:53.710Z
Take Me Over,Gui Brazil,2025-02-20T11:12:56.965Z
Take Me Higher,Rave Jesus,2025-02-20T11:16:10.604Z
Humpty Dumpty,Jasmine Janá,2025-02-20T11:19:58.287Z
Way Maker - Remix,BRIGHT,2025-02-20T11:23:22.794Z
Embers,Gateway Youth,2025-02-20T11:27:04.084Z
Holiday - MyKidBrother Remix,Britt Nicole,2025-02-20T11:30:47.677Z
Won't Run Out - Steve Smart x Jovan Bloom Remix,LZ7,2025-02-20T11:33:41.018Z
You'll Never Be Alone,Capital Kings,2025-02-20T11:37:00.240Z
Come Home - Warehouse Mix,Tauren Wells,2025-02-20T11:39:38.832Z
Goodness of God - Instrumental,The Worship Initiative,2025-02-20T18:24:44.169Z
Lift Me Up - Instrumental,Eva Brönner,2025-02-21T03:57:14.390Z
In The Name of Jesus (feat. Chandler Moore),JWLKRS Worship,2025-02-21T04:02:33.085Z
My Promised Land,Josiah Queen,2025-02-21T04:05:55.721Z
Nothing But The Blood,Forrest Frank,2025-02-21T04:09:14.724Z
HALLELUJAH,Forrest Frank,2025-02-21T04:11:46.384Z
Take Your Time,Joseph O'Brien,2025-02-21T04:15:08.233Z
My God Can,Katy Nichole,2025-02-21T04:18:23.705Z
The Jesus Way,Phil Wickham,2025-02-21T04:23:08.055Z
Another One (feat. Chris Brown),Elevation Worship,2025-02-21T04:29:51.328Z
Can't Help Falling in Love (Piano Version),The Chillest,2025-02-21T16:59:51.260Z
Until I Found You | Piano Cover,James Wong,2025-02-21T17:04:05.015Z
Easy On Me - Acoustic Instrumental,Edward Ong,2025-02-21T17:07:56.036Z
Just the Way You Are (Instrumental Piano),Matchstick Piano Man,2025-02-21T17:14:14.580Z
Lift Me Up - Instrumental,Eva Brönner,2025-02-21T17:17:57.330Z
Hallelujah,Bastian Verte,2025-02-21T17:20:28.749Z
Goodness of God,Remi Collins,2025-02-21T17:25:10.598Z
Reckless Love (Instrumental),Shane & Shane,2025-02-21T17:30:49.132Z
O Come to the Altar,The Violin Sisters,2025-02-21T17:35:08.859Z
Awamaridi,Sunmisola Agbebi,2025-02-21T20:39:33.172Z
No Suffer (Away),Blizz,2025-02-21T20:40:55.736Z
New Thing Coming (feat. Tiffany Hudson & Steven Furtick),Elevation Worship,2025-02-22T08:33:20.885Z
Nobody But Jesus (feat. Genavieve Linkowski & Nick Day),Maverick City Music,2025-02-22T08:36:43.929Z
Take It All Back,Tauren Wells,2025-02-22T08:40:04.614Z
In The Name of Jesus (feat. Chandler Moore),JWLKRS Worship,2025-02-22T08:45:04.047Z
dandelions (full rewrite),Josh Thomas,2025-02-22T08:50:00.186Z
My Love Mine All Mine (Christian Rewrite),Josh Thomas,2025-02-22T08:52:15.251Z
JUBA,Anendlessocean,2025-02-22T09:22:24.892Z
Nara,Tim Godfrey,2025-02-22T09:27:42.827Z
"Remember, We Are Kings",Blizz,2025-02-22T09:30:44.467Z
Blessings,Orlumuzik,2025-02-22T09:33:13.188Z
This Kind God,Samuel Folabi,2025-02-22T09:38:05.934Z
Victory,Rudo Chakwera,2025-02-22T09:42:24.207Z
Jehovah Eh',Dele Ojebola,2025-02-22T09:56:03.486Z
The Grace Life,Younggod,2025-02-22T10:00:04.955Z
You Do This One,Mercy Chinwo,2025-02-22T10:38:12.252Z
We Move,Mercy Chinwo,2025-02-22T10:43:00.269Z
MOUNTAINS MADE PLAIN,Chukwuebuka Ohams,2025-02-22T10:53:03.507Z
Chinedum,Mercy Chinwo,2025-02-22T10:57:44.350Z
Worthy of My Praise,Dunsin Oyekan,2025-02-22T11:11:13.457Z
